SeisThick(m),Devonian(m),Wabiskaw(m)
0.784,97.527,217.883
0.895,107.728,214.721
0.993,108.98,204.424
1.07,115.275,209.28
0.823,140.676,214.855
0.777,143.459,233.324
0.829,145.328,253.321
0.809,137.287,240.21
0.684,136.841,229.774
0.564,137.001,227.545
0.625,129.962,220.319
0.562,104.999,228.978
0.562,114.33,225.261
0.821,124.429,238.007
0.88,114.911,239.357
1.007,108.577,250.213
1.148,117.255,272.502
1.248,130.46,263.31
1.107,137.543,257.983
1.016,138.575,254.498
1.082,142.001,268.311
0.996,159.668,269.479
0.931,158.115,264.642
1.031,166.088,275.546
1.227,155.195,265.266
1.409,151.586,249.506
1.318,148.475,254.724
1.378,162.009,254.224
0.834,131.8,240.311
0.749,129.423,257.206
0.818,124.466,257.003
0.956,123.297,265.734
1.068,106.415,262.167
0.931,100.468,274.988
0.812,115.815,286.305
0.666,128.502,266.928
0.654,124.948,269.709
0.65,102.301,234.743
0.561,130.548,229.799
0.444,107.153,213.512
0.525,114.22,217.179
0.387,112.507,200.634
0.362,110.973,183.697
0.276,74.402,163.416
0.28,84.325,166.943
0.247,71.036,177.092
0.257,92.528,152.522
0.163,94.4,150.711
0.108,114.147,143.613
0.201,86.599,150.807
0.221,80.731,153.191
0.343,79.279,156.844
0.284,79.248,162.411
0.146,71.924,165.446
0.138,66.802,154.347
0.208,64.435,171.204
0.232,67.343,177.871
0.289,57.928,180.956
0.284,63.249,187.897
0.187,43.436,177.824
0.189,60.2,165.421
0.278,65.959,180.436
0.222,58.152,188.138
0.264,34.059,186.019
0.347,38.268,193.783
0.358,41.54,187.647
0.297,29.655,203.326
0.349,27.324,200.064
0.333,38.892,194.313
0.348,29.248,203.381
0.309,31.807,202.089
0.217,58.877,207.074
0.306,52.823,221.72
0.366,60.533,217.651
0.474,60.446,217.411
0.381,52.726,203.535
0.45,84.41,203.721
0.419,119.37,184.468
0.475,139.011,170.696
0.408,137.501,150.596
0.509,139.797,150.073
0.418,130.571,145.226
0.387,127.844,144.701
0.376,132.144,151.086
0.522,114.885,146.36
0.532,128.308,145.399
0.341,114.765,142.636
0.246,85.69,142.459
0.366,116.195,153.063
0.278,102.825,156.676
0.278,100.92,176.323
0.215,67.11,176.763
0.263,63.583,181.017
0.247,59.73,182.863
0.2,73.569,187.947
0.146,95.204,195.789
0.255,88.163,200.509
0.201,90.084,182.206
0.139,85.407,176.823
0.197,106.802,191.525
0.194,116.797,180.394
0.245,129.947,176.944
0.248,140.77,172.357
0.206,130.415,153.516
0.109,116.319,150.909
0.21,107.422,156.095
0.275,92.94,150.832
0.231,76.527,149.596
0.186,71.416,146.592
0.189,78.675,150.176
0.1,84.811,150.258
0.079,60.163,152.941
0.089,62.14,151.071
0.063,52.798,144.708
0.04,23.363,142.221
0.04,25.474,142.204
0.042,25.155,142.193
0.067,42.85,142.228
0.077,47.608,142.215
0.068,48.942,142.248
0.083,55.857,142.482
0.064,53.242,142.424
0.047,48.379,142.313
0.046,44.376,144.226
0.046,39.919,143.967
0.044,23.731,153.204
0.042,23.622,177.732
0.048,34.714,193.894
0.062,47.706,204.226
0.063,24.868,214.113
0.048,48.458,217.701
0.056,62.525,225.834
0.057,72.113,230.549
0.064,86.23,219.674
0.079,115.211,224.292
0.051,125.195,218.599
0.067,127.33,213.369
0.079,127.865,217.972
0.111,128.776,213.989
0.133,124.778,202.724
0.131,100.28,204.237
0.084,114.522,215.33
0.087,95.541,229.001
0.179,67.68,228.932
0.193,90.257,244.411
0.125,85.774,238.935
0.084,71.142,234.924
0.14,101.682,250.384
0.193,102.292,234.494
0.15,84.986,205.434
0.191,111.849,219.722
0.246,114.252,231.921
0.264,110.612,215.626
0.216,130.279,218.58
0.201,125.838,217.577
0.14,124.599,215.62
0.069,125.412,199.596
0.101,121.592,188.623
0.141,121.63,191.254
0.12,125.096,186.371
0.096,100.306,178.539
0.109,81.703,187.956
0.114,79.642,206.929
0.084,86.097,202.062
0.085,124.533,211.903
0.157,131.914,219.578
0.232,152.434,244.314
0.285,166.658,261.801
0.348,160.946,255.507
0.311,144.861,249.614
0.283,150.505,281.922
0.35,155.373,297.853
0.417,163.173,294.999
0.31,181.144,308.557
0.22,166.229,294.069
0.395,158.686,269.785
0.444,148.466,266.483
0.446,143.662,253.62
0.352,107.275,236.325
0.392,103.661,226.333
0.468,103.622,226.183
0.29,82.586,221.462
0.232,80.481,217.611
0.228,62.027,223.671
0.315,71.55,234.106
0.231,87.296,247.517
0.288,83.966,250.942
0.366,104.477,272.07
0.374,121.591,288.176
0.246,86.926,274.927
0.222,101.19,297.706
0.329,125.081,300.42
0.314,135.87,303.708
0.396,136.358,295.942
0.457,136.872,273.512
0.371,114.962,241.855
0.516,113.764,232.06
0.631,124.633,236.234
0.689,123.298,240.047
0.79,103.054,240.922
0.804,114.583,248.9
0.918,144.83,240.34
0.763,141.49,227.665
0.788,143.38,233.494
0.683,163.259,234.972
0.851,163.193,247.354
0.823,155.08,240.529
0.808,158.297,255.226
0.705,165.853,246.823
0.734,153.502,240.694
0.66,120.839,231.535
0.57,114.84,241.162
0.641,122.105,237.092
0.651,127.726,225.706
0.764,130.321,235.08
1.076,127.89,244.997
1.186,138.088,263.139
1.457,141.01,257.37
1.31,145.691,262.014
1.213,138.214,249.29
1.376,143.297,273.012
1.159,170.486,275.53
1.3,170.792,278.555
1.541,183.037,292.242
1.435,172.099,269.683
1.459,169.141,265.486
1.07,152.357,247.195
1.07,155.191,260.624
0.806,135.679,243.118
0.76,109.684,248.931
0.765,105.571,272.704
0.978,126.944,289.104
0.881,120.092,265.311
0.996,122.785,291.525
0.872,120.364,282.152
0.741,142.868,283.671
0.655,139.87,268.999
0.936,119.891,251.003
0.743,135.126,247.367
0.673,125.122,231.938
0.567,100.696,211.881
0.55,109.248,205.021
0.446,106.95,192.172
0.465,71.913,178.15
0.362,69.038,159.986
0.366,79.314,179.12
0.264,94.394,171.863
0.229,94.916,155.51
0.232,89.178,150.862
0.186,87.267,156.112
0.269,83.635,156.516
0.345,86.345,172.802
0.307,108.335,177.763
0.247,90.298,176.329
0.244,87.601,169.664
0.232,73.006,157.333
0.283,79.342,185.795
0.311,71.92,188.899
0.281,81.629,192.94
0.219,57.247,185.002
0.231,67.358,173.58
0.239,85.95,181.776
0.233,62.059,178.141
0.348,63.059,192.753
0.336,65.266,200.882
0.369,68.763,214.212
0.558,42.841,200.94
0.522,25.067,202.074
0.361,27.735,200.933
0.39,45.831,214.387
0.365,40.693,215.641
0.306,46.375,229.036
0.37,51.486,232.124
0.323,48.532,222.422
0.325,37.365,218.974
0.307,40.146,215.601
0.322,78.409,207.45
0.462,114.594,188.921
0.488,144.67,151.42
0.395,138.901,146.271
0.367,141.504,150.841
0.438,135.075,150.396
0.393,124.949,142.456
0.303,101.112,142.392
0.39,127.087,144.486
0.382,126.999,150.244
0.409,105.639,142.94
0.348,98.008,143.959
0.356,86.392,150.526
0.327,93.184,156.13
0.276,74.912,169.261
0.215,62.841,164.892
0.298,67.963,179.289
0.253,67.24,177.536
0.305,63.303,180.198
0.224,89.757,181.451
0.217,107.014,194.259
0.231,100.354,180.167
0.232,109.132,200.934
0.219,106.636,193.685
0.223,110.42,168.322
0.272,135.699,172.316
0.29,147.088,178.056
0.287,143.371,156.305
0.342,134.237,160.26
0.246,113.711,152.012
0.212,114.387,153.709
0.291,112.245,150.686
0.137,85.178,148.734
0.202,85.945,149.301
0.182,76.576,157.483
0.08,69.502,153.069
0.073,62.696,150.36
0.053,48.224,144.324
0.04,42.257,142.479
0.042,39.228,142.364
0.04,33.57,142.219
0.063,43.165,142.31
0.066,47.997,142.201
0.079,71.257,144.332
0.065,62.343,142.284
0.044,47.705,142.27
0.04,48.353,142.238
0.04,62.047,142.397
0.04,41.684,144.574
0.04,27.991,150.232
0.044,23.188,176.309
0.061,36.679,201.491
0.061,29.43,217.739
0.07,29.721,224.382
0.051,21.851,235.397
0.1,47.662,235.329
0.111,62.684,235.424
0.088,88.795,223.755
0.108,122.908,234.765
0.065,134.729,217.808
0.086,130.533,214.39
0.077,121.994,206.853
0.133,115.36,219.988
0.105,114.751,203.795
0.133,106.29,201.525
0.106,127.729,219.486
0.078,99.887,203.386
0.136,105.3,219.298
0.217,114.208,243.781
0.135,101.456,247.605
0.147,85.248,243.782
0.136,87.942,246.455
0.136,98.899,235.062
0.149,84.684,214.969
0.263,89.772,215.47
0.276,119,226.715
0.218,127.383,221.375
0.206,123.562,232.108
0.146,129.894,227.404
0.171,101.832,218.646
0.161,103.136,206.892
0.187,100.081,200.796
0.14,104.442,201.3
0.18,101.536,200.476
0.186,81.883,200.839
0.169,85.617,215.349
0.198,76.483,218.824
0.088,90.658,199.697
0.079,90.499,191.601
0.206,144.046,224.998
0.181,141.387,234.846
0.189,134.43,242.567
0.241,144.678,251.201
0.289,152.585,257.851
0.311,154.058,263.335
0.392,148.551,258.276
0.342,162.77,274.456
0.276,180.602,291.837
0.196,166.439,273.615
0.33,151.69,280.133
0.392,152.519,256.422
0.383,143.001,247.35
0.386,143.075,249.097
0.394,115.042,227.694
0.307,109.348,222.842
0.32,80.531,215.686
0.218,63.835,217.74
0.253,60.778,235.34
0.307,70.806,242.039
0.233,86.591,263.869
0.299,117.27,285.186
0.347,114.881,290.066
0.313,87.394,309.374
0.265,86.077,295.617
0.201,89.272,274.105
0.244,118.585,301.493
0.235,125.351,269.885
0.28,140.641,269.371
0.314,134.96,262.5
0.345,112.5,245.365
0.396,109.264,235.145
0.655,139.541,249.005
0.684,118.583,248.927
0.651,116.331,257.89
0.778,131.026,262.068
0.757,156.398,248.869
0.865,166.489,251.16
0.861,175.813,266.182
0.685,170.198,259.06
0.836,169.53,260.893
0.824,152.921,254.555
0.851,159.028,256.618
0.807,166.994,254.527
0.524,135.315,232.642
0.653,126.411,235.418
0.628,105.06,235.128
0.783,133.714,235.402
0.765,124.316,227.789
0.855,114.226,235.388
0.933,126.115,238.884
1.068,152.379,260.415
1.215,143.615,254.724
1.369,162.425,258.354
1.368,153.608,262.039
1.415,157.235,268.794
1.116,159.191,263.44
1.442,162.858,262.846
1.237,181.756,275.04
1.104,183.965,271.551
0.994,181.934,275.155
1.114,178.148,254.547
1.083,169.155,269.848
0.865,148.277,269.975
0.832,125.653,258.463
0.657,110.746,266.847
0.872,109.53,276.526
0.873,118.959,290.238
0.945,132.443,296.235
0.779,130.47,306.739
0.873,152.366,333.109
0.874,146.213,291.003
0.959,109.663,257.916
0.814,114.561,247.139
0.652,101.342,234.143
0.754,86.564,227.583
0.679,100.733,214.561
0.589,106.829,196.833
0.499,80.083,172.86
0.634,88.593,186.666
0.469,66.03,177.374
0.382,96.369,175.503
0.29,92.541,174.343
0.29,114.968,177.02
0.35,122.107,188.509
0.356,112.101,188.728
0.372,97.319,175.29
0.381,110.19,186.822
0.379,76.356,177.35
0.283,80.5,178.386
0.307,85.67,183.134
0.359,87.733,184.932
0.394,113.094,201.789
0.275,97.904,180.601
0.274,86.395,195.869
0.28,101.83,194.74
0.221,76.996,178.921
0.276,63.942,176.473
0.284,63.416,184.77
0.32,54.055,200.307
0.396,62.134,217.663
0.516,55.722,223.762
0.614,48.791,214.892
0.42,52.251,203.677
0.524,24.772,214.116
0.431,40.161,226.183
0.374,69.117,241.86
0.321,64.052,228.671
0.277,58.338,214.178
0.257,59.662,217.47
0.244,67.103,222.961
0.262,88.021,214.019
0.412,124.9,195.214
0.455,130.385,165.494
0.394,130.633,158.124
0.373,130.413,151.833
0.381,133.613,150.426
0.38,127.666,143.981
0.324,100.314,142.522
0.307,105.302,147.73
0.414,117.943,151.375
0.405,89.437,153.563
0.288,112.864,150.011
0.334,86.782,153.025
0.306,77.815,169.405
0.305,65.992,179.322
0.197,75.921,185.718
0.219,79.123,184.352
0.233,63.654,180.195
0.239,64.15,176.673
0.323,100.041,179.583
0.304,87.852,175.773
0.279,102.069,190.331
0.271,100.935,200.382
0.227,109.437,186.761
0.218,100.982,163.136
0.214,122.321,162.923
0.347,140.274,166.943
0.392,135.785,169.927
0.386,119.37,151.791
0.306,109.402,154.584
0.197,105.6,152.433
0.278,102.147,151.539
0.21,87.857,151.689
0.175,86.421,144.893
0.201,95.037,153.146
0.066,72.165,150.066
0.051,84.434,143.77
0.067,69.345,143.609
0.045,49.624,142.555
0.04,44.702,142.252
0.04,39.392,142.23
0.045,24.416,142.195
0.046,14.916,142.178
0.054,62.397,142.272
0.052,83.165,142.483
0.044,48.98,142.285
0.042,37.771,142.247
0.04,35.42,142.395
0.04,48.703,143.059
0.04,48.945,176.482
0.047,30.915,191.13
0.069,30.378,204.367
0.067,20.463,216.078
0.062,13.828,224.68
0.066,19.848,237.132
0.091,28.138,233.64
0.091,48.205,243.737
0.136,83.05,224.373
0.124,119.371,217.681
0.142,115.907,212.096
0.248,130.242,217.35
0.186,121.979,203.561
0.144,109.563,202.833
0.202,106.892,201.653
0.233,124.769,202.026
0.118,124.77,200.955
0.079,134.599,212.695
0.173,124.877,226.362
0.31,121.987,242.234
0.21,110.001,254.672
0.162,103.128,253.429
0.098,87.247,241.525
0.202,80.092,218.351
0.219,84.537,215.39
0.202,79.906,206.233
0.185,99.342,214.096
0.109,118.47,215.985
0.198,99.04,215.201
0.173,100.802,216.088
0.248,100.539,217.978
0.271,78.724,217.11
0.14,82.414,204.115
0.136,78.711,203.387
0.198,85.626,213.198
0.184,72.467,203.502
0.268,79.82,217.897
0.216,85.883,224.163
0.137,78.613,206.937
0.115,100.602,203.427
0.19,119.223,213.172
0.271,147.833,235.027
0.274,139.052,241.298
0.278,150.696,241.436
0.351,169.241,265.341
0.352,174.536,269.579
0.341,154.43,256.524
0.249,162.041,253.205
0.189,170.52,261.432
0.307,168.673,271.782
0.246,145.585,253.948
0.432,152.709,263.212
0.394,141.907,254.009
0.349,114.82,224.571
0.28,111.719,215.945
0.279,99.697,217.951
0.261,85.84,231.482
0.266,85.185,237.353
0.29,69.588,240.019
0.28,63.114,247.857
0.254,84.157,273.653
0.137,101.758,280.98
0.221,90.7,279.615
0.277,100.197,284.868
0.217,80.44,285.247
0.184,94.489,283.018
0.187,101.224,271.115
0.187,118.472,264.444
0.289,133.966,269.971
0.25,130.041,267.627
0.39,130.096,257.89
0.291,141.168,236.225
0.456,145.653,244.971
0.451,134.564,248.839
0.706,145.02,274.223
0.806,162.229,272.882
0.736,166.765,258.013
0.724,174.865,263.29
0.82,190.738,269.604
0.843,182.075,270.016
0.843,168.393,274.782
0.798,174.63,271.48
0.836,175.736,265.296
0.683,167.709,247.849
0.816,154.627,247.264
0.671,130.163,240.651
0.723,109.371,240.336
0.821,114.82,217.999
0.888,115.775,234.962
0.983,122.577,236.366
1.034,123.572,243.963
1.043,137.629,247.085
1.244,138.083,260.343
1.589,167.543,261.898
1.605,162.106,258.415
1.513,176.415,276.117
1.226,174.448,262.001
1.307,177.253,250.404
1.246,174.641,253.316
1.104,181.462,255.26
1.145,183.546,276.086
0.882,170.23,265.75
0.934,166.251,280.761
0.817,159.856,273.634
0.793,134.062,279.524
0.707,119.804,263.25
0.587,116.577,285.424
0.846,127.789,298.991
1.035,139.186,304.924
0.818,137.048,318.032
0.852,152.331,319.472
1.077,152.446,300.466
0.799,109.294,242.058
0.815,109.454,242.298
0.766,100.079,243.868
0.658,92.704,235.169
0.601,120.814,224.322
0.719,118.262,202.622
0.676,122.622,186.461
0.566,124.109,185.82
0.456,96.436,169.974
0.39,92.576,187.472
0.313,107.902,200.572
0.349,108.525,190.537
0.439,112.597,189.594
0.394,105.71,194.2
0.316,100.216,180.942
0.357,86.693,175.48
0.466,98.945,186.886
0.397,84.794,186.438
0.358,79.015,186.543
0.42,74.746,176.66
0.348,88.042,188.083
0.36,102.482,184.35
0.42,101.545,200.7
0.272,92.493,196.74
0.278,86.337,187.079
0.293,67.427,191.157
0.335,62.613,193.774
0.363,62.368,213.86
0.411,62.523,220.719
0.449,46.621,218.063
0.478,62.351,219.498
0.575,60.882,214.245
0.555,48.085,218.347
0.453,51.913,213.681
0.278,61.967,217.218
0.228,47.283,194.565
0.196,51.296,200.818
0.209,63.633,213.147
0.242,79.434,220.179
0.27,101.589,214.932
0.306,122.741,200.252
0.437,111.11,177.13
0.466,101.583,171.557
0.449,115.262,153.054
0.514,115.918,152.19
0.373,102.877,144.44
0.307,100.272,143.533
0.35,113.466,152.701
0.303,107.17,154.523
0.327,112.861,168.196
0.28,100.713,169.935
0.275,71.994,160.64
0.233,69.849,163.721
0.345,85.89,188.353
0.287,74.992,186.627
0.197,56.482,185.643
0.215,69.24,188.753
0.308,86.183,186.495
0.336,111.955,187.352
0.304,100.497,184.325
0.233,96.805,181.682
0.274,85.777,186.31
0.19,89.446,181.251
0.136,98.611,176.337
0.24,108.225,173.829
0.278,114.298,161.508
0.352,130.897,172.33
0.329,122.567,153.618
0.277,121.637,153.525
0.278,103.29,150.691
0.307,109.573,150.821
0.217,75.743,151.704
0.14,110.956,152.09
0.106,100.289,164.08
0.069,84.863,150.765
0.066,105.418,147.85
0.045,80.539,150.176
0.04,62.382,142.45
0.04,55.972,142.28
0.04,41.908,142.234
0.04,33.211,142.194
0.045,57.168,142.204
0.049,56.129,142.202
0.04,71.378,142.341
0.04,60.646,142.281
0.04,29.837,142.197
0.04,26.145,142.21
0.04,22.063,142.36
0.04,32.993,157.694
0.042,40.25,188.419
0.064,30.934,209.804
0.077,21.506,221.308
0.08,18.879,240.705
0.082,23.772,242.281
0.082,35.848,246.3
0.079,60.335,227.362
0.202,72.284,219.274
0.306,91.84,213.386
0.279,120.45,202.075
0.335,139.653,217.564
0.332,135.753,220.213
0.283,121.566,204.392
0.246,115.94,209.741
0.209,139.112,203.476
0.079,139.104,199.367
0.078,135.741,203.628
0.202,130.812,214.974
0.29,115.669,234.77
0.261,113.396,247.389
0.164,97.613,229.025
0.107,68.491,212.553
0.208,78.648,215.502
0.209,70.823,203.242
0.2,87.663,203.317
0.118,100.407,200.963
0.077,114.758,203.581
0.082,96.702,200.911
0.108,100.928,202.065
0.197,84.965,188.562
0.277,63.332,212.514
0.201,61.99,203.333
0.188,62.682,203.416
0.185,67.688,200.941
0.228,61.978,208.307
0.205,63.423,212.304
0.144,69.339,214.577
0.153,82.611,215.416
0.211,105.44,215.584
0.23,125.648,213.746
0.274,135.671,227.764
0.378,145.181,232.366
0.334,156.424,248.958
0.322,183.651,256.621
0.366,180.955,269.013
0.325,176.297,269.077
0.218,184.068,264.965
0.188,169.088,247.738
0.237,168.725,240.666
0.346,154.444,240.803
0.277,122.082,225.853
0.322,136.663,227.571
0.292,125.621,219.275
0.318,121.041,216.015
0.278,86.078,204.616
0.21,86.86,212.733
0.195,71.418,228.505
0.233,65.319,240.337
0.216,63.883,250.379
0.143,85.08,248.778
0.196,105.082,268.133
0.187,106.193,274.787
0.218,114.192,284.05
0.157,93.525,289.28
0.219,105.689,282.64
0.219,113.959,269.083
0.213,120.805,262.049
0.307,135.655,263.214
0.339,146.198,275.118
0.306,153.497,262.074
0.345,154.114,256.871
0.32,144.453,253.388
0.386,152.17,257.616
0.465,166.363,273.726
0.578,166.569,270.095
0.66,168.909,262.072
0.798,176.618,262.659
0.926,191.503,282.1
0.813,192.889,277.102
0.92,183.295,289.353
0.901,180.55,264.003
1.02,181.289,275.873
0.953,181.084,268.383
0.834,159.467,262.145
0.809,139.811,266.204
0.795,121.549,233.859
0.917,109.287,219.903
1.017,115.232,240.576
1.301,140.276,257.899
1.11,140.792,243.762
1.415,137.565,248.103
1.236,140.551,269.116
1.335,142.546,250.83
1.519,153.429,257.117
1.339,152.399,265.307
1.131,169.987,256.086
1.026,178.593,257.04
1.156,184.409,258.053
1.367,180.762,257.156
1.03,168.919,263.148
0.979,165.054,261.641
0.912,152.476,263.341
0.799,162.224,282.915
0.75,145.083,270.139
0.722,124.819,276.122
0.706,112.778,299.734
0.735,124.9,301.234
0.958,135.004,309.555
0.903,125.724,305.795
0.959,142.84,308.881
1.223,142.101,298.069
0.8,71.574,238.524
0.881,75.254,235.385
1.003,76.895,237.712
0.743,79.823,241.532
0.624,100.188,228.009
0.667,109.001,213.081
0.705,110.12,200.846
0.561,115.32,201.507
0.508,114.906,197.151
0.347,100.324,200.84
0.343,108.1,217.372
0.394,101.655,208.993
0.453,126.148,213.156
0.357,115.248,206.23
0.292,107.183,187.235
0.35,106.282,183.747
0.319,84.506,176.192
0.27,87.245,181.74
0.308,106.395,184.561
0.348,109.455,179.92
0.37,94.67,182.748
0.396,115.718,187.584
0.35,104.198,200.801
0.23,98.279,187.083
0.275,73.915,189.617
0.303,62.856,194.983
0.335,51.416,194.89
0.326,44.485,208.932
0.35,47.945,217.757
0.394,48.355,206.552
0.502,55.912,213.242
0.501,54.16,214.552
0.351,43.862,215.917
0.312,63.59,218.852
0.232,55.187,215.636
0.19,55.741,217.457
0.138,54.259,201.812
0.138,63.485,200.895
0.19,88.107,215.603
0.202,106.742,200.757
0.224,103.822,190.802
0.28,100.182,165.944
0.331,104.702,170.47
0.477,100.958,160.418
0.522,102.889,160.399
0.475,108.861,150.073
0.51,103.294,151.492
0.373,91.126,146.056
0.225,87.696,150.649
0.266,104.996,159.234
0.22,78.975,151.339
0.204,64.206,152.387
0.303,78.887,174.192
0.303,92.205,180.26
0.337,88.156,188.349
0.276,72.753,194.835
0.232,69.763,190.683
0.318,99.229,186.487
0.277,86.65,179.976
0.286,89.986,186.864
0.182,109.641,176.928
0.233,111.769,189.206
0.183,100.766,175.478
0.233,107.063,177.895
0.234,117.691,180.01
0.288,114.456,180.12
0.302,131.159,172.004
0.307,120.844,152.102
0.238,112.233,172.341
0.289,111.603,151.969
0.225,78.679,150.238
0.133,75.527,149.289
0.123,87.212,159.968
0.067,86.338,153.431
0.047,71.536,148.342
0.065,94.066,150.897
0.049,87.862,147.191
0.042,72.118,147.845
0.04,63.898,142.447
0.04,63.479,142.421
0.04,45.786,142.223
0.04,65.425,142.188
0.044,62.79,142.169
0.04,62.749,142.207
0.04,51.508,142.202
0.04,38.018,142.202
0.04,39.646,142.243
0.04,31.196,142.431
0.041,24.239,150.249
0.047,28.095,175.285
0.063,34.008,204.11
0.133,26.44,234.436
0.136,35.397,242.273
0.133,35.798,247.206
0.103,36.635,231.844
0.245,65.158,232.122
0.276,89.486,220.129
0.342,120.586,217.978
0.412,133.733,215.678
0.281,144.668,204.642
0.278,137.485,215.704
0.266,146.18,217.672
0.18,131.511,200.852
0.136,142.824,203.36
0.084,121.292,188.452
0.134,136.497,206.6
0.153,140.874,217.976
0.195,131.095,234.811
0.22,114.408,241.077
0.213,87.311,234.886
0.106,78.283,214.738
0.133,77.07,206.793
0.195,70.052,213.205
0.252,91.946,204.698
0.134,99.93,206.966
0.139,121.539,217.183
0.126,116.316,215.8
0.134,89.266,202.126
0.107,66.083,194.958
0.175,57.343,200.982
0.251,47.407,201.842
0.231,55.314,202.025
0.265,66.216,218.929
